timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765817108,2.659703063453172,8.077950477600098,-3.1440000534057617,
1770765817142,,7.968000411987305,-4.61400032043457,-2.5879502296447754
1770765817169,2.181184206956793,8.044950485229492,-4.6650004386901855,-4.338000297546387
1770765817198,,7.080000400543213,-4.594950199127197,-5.503950119018555
1770765817213,,7.839000225067139,-4.357950210571289,-6.775050163269043
1770765817230,4.529885974653157,9.067049980163574,-5.455050468444824,-8.173049926757812
1770765817277,,8.755949974060059,-3.9270002841949463,-6.820950508117676
1770765817289,,,,-5.503950119018555
1770765817290,5.579465902602218,10.954050064086914,-4.228950023651123,
1770765817343,,,,-8.116050720214844
1770765817344,,,-5.335050106048584,-3.556950092315674
1770765817345,,11.281950950622559,,
1770765817375,,,,-5.785950183868408
1770765817376,1.16617244515744,7.73805046081543,-5.941050052642822,-1.01895010471344
1770765817395,,10.291050910949707,-5.124000072479248,-5.968050479888916
1770765817412,,7.456050395965576,-7.945050239562988,-1.0960500240325928
1770765817432,1.638569152304023,9.034049987792969,-4.5420002937316895,-4.741950035095215
1770765817461,,5.128950119018555,-6.78795051574707,-3.5520002841949463
1770765817478,,6.510000228881836,-4.815000057220459,-4.788000106811523
1770765817493,0.9907855544563016,6.727950096130371,-5.728050231933594,-5.251950263977051
1770765817546,,5.647950172424316,-4.114050388336182,-3.3109500408172607
1770765817555,,,,-3.5329501628875732
1770765817556,0.841269839252673,5.502000331878662,-6.943950176239014,
1770765817592,,,,-4.813950061798096
1770765817593,,9.508050918579102,-4.150050163269043,
1770765817622,,6.397950172424316,-5.068950176239014,-5.736000061035156
1770765817634,,6.948000431060791,-3.5250000953674316,-5.035050392150879
1770765817635,1.3924718444415891,,,
1770765817673,,6.8959503173828125,-5.344950199127197,-5.407950401306152
1770765817694,,,,-4.246950149536133
1770765817695,1.5155573564358997,7.140000343322754,-5.785050392150879,
1770765817732,,4.839000225067139,-3.4429502487182617,-5.089950084686279
1770765817748,,,,-5.719050407409668
1770765817749,,6.711000442504883,-6.439050197601318,
1770765817754,,,-6.811950206756592,-2.473050117492676
1770765817755,1.8067461962397908,3.951000213623047,,
1770765817784,,,,-3.5430002212524414
1770765817785,,6.723000526428223,-5.400000095367432,
1770765817815,,,,-2.4820501804351807
1770765817816,,3.939000129699707,-6.562950134277344,
1770765817817,3.712777221810043,7.6810503005981445,,-5.2669501304626465
1770765817838,,,,-2.9040000438690186
1770765817839,,4.461000442504883,-9.22605037689209,
1770765817883,,7.521000385284424,-6.244950294494629,-4.05495023727417
1770765817898,,,-9.949050903320312,-4.243950366973877
1770765817899,4.194586607577877,10.267050743103027,,
1770765817954,,8.292000770568848,-6.3259501457214355,-5.218950271606445
1770765817959,4.3075752334091035,5.887950420379639,-1.1790000200271606,-6.469050407409668
1770765817992,,8.845050811767578,-5.731950283050537,-10.551000595092773
1770765818003,,5.098050117492676,-5.104950428009033,-1.5169501304626465
1770765818018,,7.9110002517700195,-3.289950132369995,-5.487000465393066
1770765818019,2.1043946422796562,,,
1770765818060,,9.877050399780273,-4.803000450134277,-5.236050128936768
1770765818081,,7.4659504890441895,-4.507050037384033,-3.888000249862671
1770765818082,1.034772117885266,,,
1770765818118,,,,-4.4070000648498535
1770765818119,,6.631950378417969,-4.770000457763672,
1770765818151,,5.995050430297852,-3.961050271987915,-2.0269501209259033
1770765818160,,,,-2.6620500087738037
1770765818161,2.623763837845992,7.090050220489502,-7.63800048828125,
1770765818193,,,,-5.748000144958496
1770765818194,,8.677050590515137,-3.8460001945495605,
1770765818223,,6.052950382232666,-6.682950496673584,-0.3850500285625458
1770765818224,2.1554392520535606,,,
1770765818278,,,,-3.306000232696533
1770765818279,,5.919000148773193,-8.764050483703613,-3.166950225830078
1770765818281,,,,-1.01895010471344
1770765818282,2.0160983217423025,6.261000156402588,-5.608050346374512,
1770765818334,,,-5.866950511932373,-3.970950126647949
1770765818335,,7.819950580596924,-6.7069501876831055,
1770765818342,,,-4.935000419616699,-4.764000415802002
1770765818343,2.6581682347257902,5.536050319671631,,
1770765818391,,,,-6.253050327301025
1770765818392,,5.773050308227539,-5.803950309753418,
1770765818419,,,-4.489950180053711,-5.691000461578369
